"time","marketStatus","inplay","competitor","competitorStatus","backPrice1","backVolume1","layPrice1","layVolume1"
2018-06-20 16:04:16,"OPEN",TRUE,868018,"ACTIVE","24","99.4","38","3.75"
2018-06-20 16:04:17,"OPEN",TRUE,868018,"ACTIVE","28","2.2200000000000002","42","3.34"
2018-06-20 16:04:18,"OPEN",TRUE,868018,"ACTIVE","24","6.94","50","6.56"
2018-06-20 16:04:19,"OPEN",TRUE,868018,"ACTIVE","16","8.8800000000000008","36","2"
2018-06-20 16:04:19,"OPEN",TRUE,868018,"ACTIVE","14.5","71.709999999999994","48","2.94"
2018-06-20 16:04:20,"OPEN",TRUE,868018,"ACTIVE","25","2.83","50","5.3"
2018-06-20 16:04:21,"OPEN",TRUE,868018,"ACTIVE","16.5","5.15","17.5","3.44"
2018-06-20 16:04:22,"OPEN",TRUE,868018,"ACTIVE","16.5","5.29","34","2.5099999999999998"
2018-06-20 16:04:22,"OPEN",TRUE,868018,"ACTIVE","18","3.89","46","3.17"
2018-06-20 16:04:23,"OPEN",TRUE,868018,"ACTIVE","18","5.3","140","2.71"
2018-06-20 16:04:24,"OPEN",TRUE,868018,"ACTIVE","14.5","2.37","32","4.63"
2018-06-20 16:04:25,"OPEN",TRUE,868018,"ACTIVE","13.5","41.64","150","3.94"
2018-06-20 16:04:25,"OPEN",TRUE,868018,"ACTIVE","7","54.82","11.5","2.88"
2018-06-20 16:04:26,"OPEN",TRUE,868018,"ACTIVE","38","16.41","55","6.31"
2018-06-20 16:04:27,"OPEN",TRUE,868018,"ACTIVE","18","2.14","75","11.32"
2018-06-20 16:04:28,"OPEN",TRUE,868018,"ACTIVE","18","2.16","38","9.59"
2018-06-20 16:04:29,"OPEN",TRUE,868018,"ACTIVE","8.1999999999999993","6.87","38","9.17"
2018-06-20 16:04:30,"OPEN",TRUE,868018,"ACTIVE","8.4","4.29","14.5","3.59"
2018-06-20 16:04:31,"OPEN",TRUE,868018,"ACTIVE","8.4","4.29","17","2.5299999999999998"
2018-06-20 16:04:32,"OPEN",TRUE,868018,"ACTIVE","9.6","2.6","17","3.05"
2018-06-20 16:04:33,"OPEN",TRUE,868018,"ACTIVE","16","4.76","19","3.61"
2018-06-20 16:04:33,"OPEN",TRUE,868018,"ACTIVE","16","4.76","34","5.7"
2018-06-20 16:04:34,"OPEN",TRUE,868018,"ACTIVE","16","4.76","25","3.6"
2018-06-20 16:04:35,"OPEN",TRUE,868018,"ACTIVE","7","48.08","25","3.6"
2018-06-20 16:04:36,"OPEN",TRUE,868018,"ACTIVE","25","4","34","4.26"
2018-06-20 16:04:36,"OPEN",TRUE,868018,"ACTIVE","16.5","2.25","20","3.22"
2018-06-20 16:04:37,"OPEN",TRUE,868018,"ACTIVE","16.5","3.28","24","5.32"
2018-06-20 16:04:38,"OPEN",TRUE,868018,"ACTIVE","16.5","3.28","65","2.65"
2018-06-20 16:04:38,"OPEN",TRUE,868018,"ACTIVE","30","2.7","410","2.12"
2018-06-20 16:04:39,"OPEN",TRUE,868018,"ACTIVE","20","4.76","700","2.11"
2018-06-20 16:04:40,"OPEN",TRUE,868018,"ACTIVE","24","4.74","500","2.4"
2018-06-20 16:04:41,"OPEN",TRUE,868018,"ACTIVE","26","2.2999999999999998","1000","4.0999999999999996"
2018-06-20 16:04:41,"OPEN",TRUE,868018,"ACTIVE","200","3.05","NA","NA"
2018-06-20 16:04:42,"OPEN",TRUE,868018,"ACTIVE","140","17.87","NA","NA"
2018-06-20 16:04:43,"OPEN",TRUE,868018,"ACTIVE","390","10.01","NA","NA"
2018-06-20 16:04:43,"OPEN",TRUE,868018,"ACTIVE","390","10.01","NA","NA"
2018-06-20 16:04:44,"OPEN",TRUE,868018,"ACTIVE","390","10.01","NA","NA"
2018-06-20 16:04:45,"OPEN",TRUE,868018,"ACTIVE","390","10.01","NA","NA"
2018-06-20 16:04:45,"OPEN",TRUE,868018,"ACTIVE","390","10.01","NA","NA"
2018-06-20 16:04:46,"OPEN",TRUE,868018,"ACTIVE","390","10.07","NA","NA"
2018-06-20 16:04:47,"OPEN",TRUE,868018,"ACTIVE","390","10.07","NA","NA"
2018-06-20 16:04:47,"OPEN",TRUE,868018,"ACTIVE","390","10.07","NA","NA"
2018-06-20 16:04:48,"OPEN",TRUE,868018,"ACTIVE","390","10.07","NA","NA"
2018-06-20 16:04:49,"OPEN",TRUE,868018,"ACTIVE","1000","104.07","NA","NA"
2018-06-20 16:04:49,"OPEN",TRUE,868018,"ACTIVE","1000","104.07","NA","NA"
2018-06-20 16:04:50,"OPEN",TRUE,868018,"ACTIVE","1000","104.07","NA","NA"
2018-06-20 16:04:51,"OPEN",TRUE,868018,"ACTIVE","1000","104.07","NA","NA"
2018-06-20 16:04:52,"SUSPENDED",TRUE,868018,"ACTIVE","1000","104.07","NA","NA"
2018-06-20 16:04:53,"SUSPENDED",TRUE,868018,"ACTIVE","1000","104.07","NA","NA"
2018-06-20 16:04:53,"SUSPENDED",TRUE,868018,"ACTIVE","70","2.8","NA","NA"
2018-06-20 16:04:54,"SUSPENDED",TRUE,868018,"ACTIVE","70","2.8","NA","NA"
2018-06-20 16:04:55,"SUSPENDED",TRUE,868018,"ACTIVE","70","2.8","NA","NA"
2018-06-20 16:04:55,"SUSPENDED",TRUE,868018,"ACTIVE","70","2.8","NA","NA"
2018-06-20 16:04:56,"SUSPENDED",TRUE,868018,"ACTIVE","70","2.8","NA","NA"
2018-06-20 16:04:57,"SUSPENDED",TRUE,868018,"ACTIVE","70","2.8","NA","NA"
2018-06-20 16:04:58,"SUSPENDED",TRUE,868018,"ACTIVE","70","2.8","NA","NA"
